id, user, lat, long, tags, title, date_taken_minute, date_taken_hour, date_taken_day, date_taken_month, date_taken_year, date_upload_minute, date_upload_hour, date_upload_day, date_upload_month, date_upload_year,,,
4395181099,30624617@N03,45.754858,4.821710,"chair,lyon,rhône,chaise,rhônealpes",Chaises avec vue,11,15,28,2,2010,23,20,28,2,2010,,,
4394748717,35853470@N00,45.753270,4.862953,,,51,17,28,2,2010,52,17,28,2,2010,,,
4394694699,11817998@N05,45.760655,4.846564,"365,iphone",59/365 - R46 V103 B163,29,17,28,2,2010,33,17,28,2,2010,,,
4394803790,11545749@N06,45.784000,4.874072,"nin,nineinchnails,gift,screening,toiou,avott",2010-01-29 Toiou Avott Lyon,15,20,28,1,2010,38,12,28,2,2010,,,
4394803554,11545749@N06,45.784000,4.874072,"lyon,nin,nineinchnails,gift,screening,toiou,avott",2010-01-28 Toiou Avott Lyon,10,20,28,1,2010,38,12,28,2,2010,,,
4394566432,16197488@N06,45.755940,4.833158,"poste,lyon,streetphotography,rue,gens",,57,12,27,2,2010,1,10,28,2,2010,,,
4393799139,16197488@N06,45.754289,4.832257,"lyon,streetphotography,rue,gens",,8,11,27,2,2010,1,10,28,2,2010,,,
4394565970,16197488@N06,45.774662,4.834005,"lyon,streetphotography,rue,montblanc,gens,montagnes,croixrousse,groscailloux",,23,10,27,2,2010,0,10,28,2,2010,,,
4392370105,47924539@N05,45.762328,4.827547,"france,lyon,lesphotosdevoyage",Courette Lyonnaise,29,12,27,2,2010,29,21,27,2,2010,,,
4392367159,47924539@N05,45.762059,4.822654,"france,lyon,fourvière,lesphotosdevoyage",Fourvière,28,12,27,2,2010,28,21,27,2,2010,,,
4393122952,47924539@N05,45.767328,4.833362,lesphotosdevoyage,Lyon Novembre (64),21,12,27,2,2010,21,21,27,2,2010,,,
4391929053,40936370@N00,45.837545,4.826130,"portrait,sculpture,streetart,france,art,mystery,museum,architecture,painting,fire,graffiti,ruins,rawart,outsiderart,chaos,symbol,contemporaryart,secret,911,apocalypse,taz,bolas,peinture,eros,container,freemasonry,anarchy,artbrut,ddc,sanctuary,worldwar,mystic,feu,cyberpunk,landart,devastation,alchemy,modernsculpture,prophecy,999,vanitas,revelation,endoftheworld,sanctuaire,postapocalyptic,dadaisme,vulcain,artprice,salamanderspirit,organmuseum,saintromainaumontdor,demeureduchaos,thierryehrmann,alchimie,artsingulier,prophétie,abodeofchaos,facteurcheval,palaisideal,kurtehrmann,postapocalyptique,visionaryarchitecture,maisondartiste,artistshouses,actingperformance,sculpturemoderne,francmaconnerie,gesamtkuntwerk,lemondedefelix,groupeserveur,lespritdelasalamandre,servergroup",Vulcain ou le monde de Felix _DDC4372,31,20,24,2,2010,15,18,27,2,2010,,,
4394564393,11817998@N05,45.758879,4.840307,"365,iphone",58/365 - @Tostaki,39,16,27,2,2010,45,16,27,2,2010,,,
4392269794,10404945@N05,45.757515,4.825572,"bridge,panorama,france,night,river,view,lyon,fiume,lione,ponte,pont,francia,nuit,notte,fleuve,saone",Panorama test 1,41,11,27,2,2010,41,14,27,2,2010,,,
4391330105,8836196@N06,45.756744,4.839885,"bridge,lyon,rhône,pont,soe,rendezvous,naturesfinest,blueribbonwinner,supershot,golddragon,mywinners,platinumphoto,impressedbeauty,aplusphoto,diamondclassphotographer,flickrdiamond,citritgroup,theunforgettablepictures,platinumheartaward,betterthangood,theperfectphotographer,goldstaraward,goldstarawardgoldmedalwinner,pontdelaguillotière,vanagram,artofimages",""" Passerelle pour un rendez-vous...""",36,12,22,8,2009,36,12,27,2,2010,,,
4392097248,9822280@N06,45.782070,4.876030,"lyon,paysageurbain,ladoua",IMG_3387,27,18,1,2,2010,35,12,27,2,2010,,,
4390395039,65917247@N00,45.741093,4.883846,"baby,daughter,maternity,newborn,2010,1day,noémie",baby dreams,7,20,12,2,2010,50,9,27,2,2010,,,
4390679749,38951914@N06,45.774190,4.831768,"france,lyon,carousel,submarine,nautilus,croixrousse,verne",The Nautilus on the Jules Verne carousel,20,1,9,5,2009,11,4,27,2,2010,,,
4391162040,65917247@N00,45.741284,4.883664,"baby,me,dad,father,daughter,maternity,newborn,2010,1day,noémie",being dad,15,18,12,2,2010,21,1,27,2,2010,,,
4390212637,11817998@N05,45.752321,4.842860,"r2d2,365,iphone",57/365 - R2D2,38,23,26,2,2010,45,23,26,2,2010,,,
4390967848,26048905@N06,45.758487,4.830851,"portrait,vintage,saturation,hdr",DSC_5121,38,15,26,2,2010,38,23,26,2,2010,,,
4390293252,40936370@N00,45.837545,4.826130,"portrait,sculpture,streetart,france,art,mystery,museum,architecture,painting,fire,graffiti,ruins,rawart,outsiderart,chaos,symbol,contemporaryart,secret,911,apocalypse,taz,bolas,peinture,eros,container,freemasonry,anarchy,artbrut,ddc,sanctuary,worldwar,mystic,feu,cyberpunk,landart,devastation,alchemy,modernsculpture,prophecy,999,vanitas,revelation,endoftheworld,sanctuaire,postapocalyptic,dadaisme,vulcain,artprice,salamanderspirit,organmuseum,saintromainaumontdor,demeureduchaos,thierryehrmann,alchimie,artsingulier,prophétie,abodeofchaos,facteurcheval,palaisideal,kurtehrmann,postapocalyptique,visionaryarchitecture,maisondartiste,artistshouses,actingperformance,sculpturemoderne,francmaconnerie,gesamtkuntwerk,lemondedefelix,groupeserveur,lespritdelasalamandre,servergroup",Vulcain ou le monde de Felix _DDC4925,43,1,25,2,2010,4,18,26,2,2010,,,
4389378799,45708649@N02,45.751452,4.823201,"sebastien,malaise,sebastienmalaise",Arbres des quais de Saône,28,17,23,2,2010,52,16,26,2,2010,,,
4389235563,38806112@N05,45.758676,4.834885,"lyon,showcase,fnac,bellecour,emmanuelleseigner","Emmanuelle Seigner : Showcase FNAC Bellecour, Lyon - 25.02.2010",30,17,25,2,2010,42,15,26,2,2010,,,
4389518800,75445510@N00,45.754326,4.838790,,The frozen pool,24,15,16,2,2010,18,9,26,2,2010,,,
4389370264,97211956@N00,45.759363,4.826988,"lamp,dailypicture",Square Lamps,21,22,21,11,2009,19,7,26,2,2010,,,
4387622809,45717618@N00,45.758872,4.867681,"collier,bokeh,day52,bokeh365",Bokeh - Day 52 : Collier,12,22,25,2,2010,22,22,25,2,2010,,,
4388291694,11817998@N05,45.760655,4.846564,"365,iphone",56/365 - Birthday,32,21,25,2,2010,37,21,25,2,2010,,,
4388160080,45220818@N07,45.780208,4.825550,"shadow,france,sens,noir,lyon,ombre,reflexions,blanc,marche,homme,2010,carré,croixrousse,piéton,inversé,carréfrançais,guillaumeimbert",Double sens,12,13,25,2,2010,35,20,25,2,2010,,,
44387297071,40936370@N00,45.837448,4.826248,"de,la,airport,du,scan,aeroport,rayons,artsculpture,artart,brutart,chaosthierry,housesstreet,bodyscanner,chevalpalais,modernemodern,scannercorporel,salamandresalamander,chaoschaoslesprit,spiritdemeure,xpatriot,actxrayabode,ehrmannddc999groupe,serveurtazorgan,museumserver,groupfacteur,idealsanctuairesanctuaryartpricecedhportraitpaintingpeinturefrancemuseumsculpturearchitecturemaison,dartisteartartists,sculpturesecretalchimiealchemyland,singulierraw,artsymbol911contemporary,artapocalypseapocalypspostapocalyptiquecyberpunkgraffitivanitasruinsprophecyprophétiecontainerdadaismeoutsider,artmysteryfrancmaconneriefreemassoneryterroristeterrorist",X-men Airport Patriot Act III _DDC4942,14,12,25,2,2010,45,19,25,2,2010,,,
4387410824,35853470@N00,45.764048,4.829164,"lyon,sshp",,2,14,25,2,2010,4,14,25,2,2010,,,
4386495316,32709539@N07,45.756759,4.839917,lyon,,14,18,7,8,2009,27,3,25,2,2010,,,
4385730489,32709539@N07,45.756759,4.839917,lyon,,10,18,7,8,2009,27,3,25,2,2010,,,
4385730295,32709539@N07,45.756759,4.839917,lyon,,5,18,7,8,2009,27,3,25,2,2010,,,
4386494466,32709539@N07,45.756759,4.839917,lyon,,3,18,7,8,2009,26,3,25,2,2010,,,
4386494298,32709539@N07,45.762774,4.822783,lyon,Sugar Pillows,13,17,7,8,2009,26,3,25,2,2010,,,
